year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,GTE US Equity 2020,169.712,22.584,,,,,,,,,,,,,,,,,,846.2679,237.838,133.5079,GRAN TIERRA ENERGY INC,36.6982,3.638,774.77,62.01,1201.725

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,4562962.764240917,607204.8592180687,0.0,5170167.623458985
BMO,1337820.9134890144,178027.17256432015,0.0,1515848.0860533346
TD,1446520.4199002455,192492.0875543694,0.0,1639012.5074546149
Scotiabank,537355.2110099852,71507.20093717301,0.0,608862.4119471582
CIBC,710080.0245678346,94492.12356721962,0.0,804572.1481350542
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,507.19910956580094,67.49425314906459,0.0,574.6933627148655
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,129319.24765500767,17208.835492131926,0.0,146528.08314713958
OMERS,0.0,0.0,0.0,0.0
CPPIB,1806027.9792281953,240332.65698883735,0.0,2046360.6362170326
Healthcare of Ontario Pension Plan Trust Fund,76692.57312863134,10205.672383431991,0.0,86898.24551206332
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,9407.97145337467,1251.94227457701,0.0,10659.91372795168
