year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,HIBI MK Equity 2020,588.107,1.647,0.0,,,,,,0.0,,,,,,,,,,,970.0297,646.504,976.7607,HIBISCUS PETROLEUM BHD,635.2916,1.537,74.265,80.996,2426.152

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,143955.93785663162,403.15015745412364,0.0,144359.08801408575
BMO,77228.8775152399,216.2803048894166,0.0,77445.15782012932
TD,54910.86024755091,153.77845668852157,0.0,55064.638704239434
Scotiabank,70821.33604269705,198.33591584919418,0.0,71019.67195854624
CIBC,45136.98120942007,126.40660296836268,0.0,45263.38781238843
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,5.418894310551192,0.015175671994174213,0.0,5.434069982545366
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,14596.694974521395,40.87820179497394,0.0,14637.57317631637
OMERS,0.0,0.0,0.0,0.0
CPPIB,2782.301178784118,7.791864476119892,0.0,2790.0930432602377
Healthcare of Ontario Pension Plan Trust Fund,5865.652041487746,16.42682184080502,0.0,5882.078863328551
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1625.6682931653577,4.552701598252264,0.0,1630.22099476361
