year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,OMV AV Equity 2020,11493.8,897.99,129112.0,13568.7,591.159,394.508,0.0,1269.35,0.0,0.0,0.0,0.0,11809.2,90219.797,11258.9,0.0,0.0,0.0,,28515.1711,16550.0,10790.1711,OMV AG,326.8303,33.0,12042.0,3704.0,49271.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2716530.933786582,212237.6945162621,30515207.619944043,33443976.24824689
BMO,1459966.4079469508,114064.55956013524,16400026.041501787,17974057.009008873
TD,1188742.5942671103,92874.32896221637,13353327.444045814,14634944.367275141
Scotiabank,205600.4758997751,16063.196797685627,2309541.603524341,2531205.2762218015
CIBC,706140.6047212726,55169.50022043673,7932185.455332399,8693495.56027411
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,1940.81293113137,151.63223686045166,21801.448607983613,23893.893775975434
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1908.8566260084604,149.1355479988635,21442.47854308816,23500.470717095483
OMERS,0.0,0.0,0.0,0.0
CPPIB,47408.243860007,3703.921149128025,532544.0569412288,583656.2219503638
Healthcare of Ontario Pension Plan Trust Fund,36736.96836929675,2870.1935152816995,412671.98660380836,452279.1484883868
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
