year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,SLB US Equity 2020,1423.82,447.798,30137.199,4581.5298,68.159,40.219,350.913,120.0,53.502,50.0,840.578,1.0,0.001,17457.4004,332.8,2937.45,,3303.6399,,45696.36,23601.0,30387.36,SCHLUMBERGER LTD,1390.0,21.83,17897.0,3006.0,42434.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,5933.848436323523,1866.2228807635806,125598.41146898251,133398.48278606962
BMO,6002.44513179164,1887.796859944398,127050.35889825573,134940.60088999177
TD,1609.4921375203373,506.19274922204494,34067.20914995577,36182.894036698155
Scotiabank,1204.42490232781,378.7972232533527,25493.380238707803,27076.602364288967
CIBC,1754.7915587270495,551.8900917355111,37142.679763464155,39449.361413926716
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,1.3588143227973735,0.4273534127347687,28.761253721942282,30.547421457474424
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,94.97643559690607,29.870529917702626,2010.3124584267932,2135.159423941402
OMERS,0.0,0.0,0.0,0.0
CPPIB,60642.89925745441,19072.47334753661,1283593.9264955197,1363309.2991005108
Healthcare of Ontario Pension Plan Trust Fund,21.741029164757975,6.837654603756299,460.1800595510765,488.7587433195908
OTPP,16.63376153769199,5.2313952248566515,352.0774162513624,373.94257301391104
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
