year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,TRP CN Equity 2020,18172.0,1996.0,2688.0,,,2598.0,,75.0,5.0,,11.0,,,,,,,,,102819.0,12999.0,48645.0,TC ENERGY CORP,940.0,47.1431,50042.0,1530.0,100300.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2882271.2116764314,316586.6904306712,426503.8129098572,3625361.7150169597
BMO,1124505.5496762258,123514.91729879742,166398.60351526362,1414419.0704902867
TD,716814.7030938432,78734.43470038031,106070.58863192517,901619.7264261487
Scotiabank,314892.4252030013,34587.56772535718,46596.17716106486,396076.1700894233
CIBC,421201.1467571179,46264.44469112961,62327.20028779936,529792.7917360469
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,177.44269709117071,19.490183986021172,26.257066502209888,223.18994757940177
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,23981.660684551345,2634.1291396854763,3548.683996299723,30164.473820536543
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,61773.21952924247,6785.128009045123,9140.886380923013,77699.23391921062
OMERS,89779.28058382156,9861.29452153356,13285.080645492857,112925.65575084797
CPPIB,263802.75029293867,28975.912920135677,39036.18729571385,331814.8505087882
Healthcare of Ontario Pension Plan Trust Fund,117009.45009764623,12852.237640045227,17314.462431904616,147176.15016959608
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,12681.362606639941,1392.9121595230754,1876.5234453695139,15950.79821153253
