year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,WCP CN Equity 2020,693.224,502.383,,,,,,,,,,,,,,,,,,3161.7332,901.556,1988.8772,WHITECAP RESOURCES INC,408.371,4.86,1172.856,0.0,3381.41

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1102429.4527344375,798936.2972907528,0.0,1901365.7500251904
BMO,683951.0946940314,495662.87780814216,0.0,1179613.9725021736
TD,390310.6037235481,282860.1029832309,0.0,673170.7067067791
Scotiabank,271936.95289784606,197074.10910135627,0.0,469011.06199920236
CIBC,202660.11540984028,146868.82848825457,0.0,349528.9438980948
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,26.4898325547701,19.197317964125688,0.0,45.68715051889579
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,13222.260499542155,9582.240223277737,0.0,22804.500722819892
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,14495.166663884529,10504.721870711777,0.0,24999.888534596306
OMERS,0.0,0.0,0.0,0.0
CPPIB,119886.35968475079,86882.26177614184,0.0,206768.6214608926
Healthcare of Ontario Pension Plan Trust Fund,80533.27357164133,58362.87776641011,0.0,138896.15133805142
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,10140.726162480018,7349.036432214116,0.0,17489.762594694133
