year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,276 HK Equity 2021,24.246,6.731,,,,,,,,,,,,,,,,,,3777.103,,210.701,MONGOLIA ENERGY CORP LTD,188.126,1.12,3674.731,108.329,3537.943

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,22364.095860959365,6208.559318655346,0.0,28572.65517961471
BMO,12625.006041736868,3504.863303923569,0.0,16129.869345660438
TD,10421.012524857499,2893.0064878666926,0.0,13314.019012724191
Scotiabank,11666.21765440126,3238.6913730831843,0.0,14904.909027484444
CIBC,6192.1941803788295,1719.0323776346575,0.0,7911.226558013487
National Bank of Canada,967.6490097341729,268.63175305290434,0.0,1236.2807627870773
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,962.2405778805036,267.1303031309771,0.0,1229.3708810114806
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,2885.9162225143687,801.167289191793,0.0,3687.0835117061615
OMERS,0.0,0.0,0.0,0.0
CPPIB,2058.1960028666213,571.3815596508797,0.0,2629.577562517501
Healthcare of Ontario Pension Plan Trust Fund,1081.8014437520467,300.32193012847586,0.0,1382.1233738805226
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
