year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,BHEL IN Equity 2021,135.055,188.816,,,,,,,,,,,,,,,,,,152128.3886,173086.9,169750.5886,BHARAT HEAVY ELECTRICALS,3482.1,48.75,49508.9,67014.5,552402.1

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1250.9446883885505,1748.9050555904817,0.0,2999.849743979032
BMO,105.387088802118,147.33825892607243,0.0,252.72534772819043
TD,202.636694539273,283.2997676215421,0.0,485.93646216081515
Scotiabank,90.25461638369838,126.1820417393239,0.0,216.43665812302228
CIBC,9.711992156238098,13.578020147141924,0.0,23.290012303380024
National Bank of Canada,11.284910030644806,15.777065435165154,0.0,27.061975465809958
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,6.652877726752107,9.301171825215103,0.0,15.95404955196721
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,107.47874337562091,150.26253311029757,0.0,257.7412764859185
Healthcare of Ontario Pension Plan Trust Fund,8.624395426691322,12.057486556485495,0.0,20.681881983176815
OTPP,0.0,0.0,0.0,0.0
OPSEU,1.715331784127905,2.398149540201359,0.0,4.113481324329264
Investment Management of Ontario,0.0,0.0,0.0,0.0
