year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,BHP AU Equity 2021,10100.0,5000.0,410500.0,9300.0,0.0,2300.0,5200.0,0.0,100.0,400.0,0.0,3300.0,301500.0,76400.0,0.0,0.0,0.0,2700.0,,194251.2867,60817.0,184173.2867,BHP GROUP LTD,5057.0,43.2471,20983.0,15246.0,108927.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,18389.711454283344,9103.817551625416,730490.3203424235,757983.8493483323
BMO,7578.292297478992,3751.6298502371246,301030.77918302687,312360.701330743
TD,11220.906880845712,5554.904396458273,445725.5287718118,462501.34004911577
Scotiabank,2638.061733629256,1305.9711552620079,104791.12549822351,108735.15838711477
CIBC,2152.5114043588383,1065.5997051281379,85503.72033948178,88721.83144896875
National Bank of Canada,1340.610272119339,663.6684515442272,53252.75655190879,55257.03527557235
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,458.5692176823166,227.01446419916664,18215.640607341127,18901.22428922261
Fairfax,721.1414987470058,357.00074195396326,28645.739534386015,29723.881775086986
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,5171.873277971968,2560.333305926717,205441.1444675598,213173.35105145848
Healthcare of Ontario Pension Plan Trust Fund,1307.1580809227094,647.1079608528265,51923.9427788308,53878.208820606334
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
