year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,CNQ CN Equity 2021,23150.0,3260.0,132000.0,,,,,,,,,,,132000.0,,,,,,77674.3231,30057.0,62449.3231,CANADIAN NATURAL RESOURCES,2362.5,26.725,16278.0,1053.0,76665.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1270455.3734386272,178906.45863541792,7244065.196280726,8693427.028354771
BMO,770864.4323160006,108553.6954362921,4395425.70478238,5274843.832534673
TD,363551.9854017441,51195.657555493985,2072953.0053144803,2487700.6482717185
Scotiabank,354182.89906171936,49876.2959369851,2019531.0011294582,2423590.1961281626
CIBC,224714.24033737843,31644.42434124638,1281307.97946151,1537666.6441401348
National Bank of Canada,87381.91030928884,12305.184777895534,498246.74560804,597933.8406952244
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,33713.734520847036,4747.59285261172,192233.82102599606,230695.14839945483
OMERS,40793.37410784521,5744.552898124207,232601.5283903053,279139.4553962747
CPPIB,454642.0135657163,64023.02221270995,2592343.2306986847,3111008.266477111
Healthcare of Ontario Pension Plan Trust Fund,40107.94874412338,5648.0307950687775,228693.2714567726,274449.25099596474
OTPP,1097.2737028754118,154.51888861226104,6256.593035833882,7508.385627321555
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,5574.224550722152,784.9663946157328,31783.915364808818,38143.1063101467
