year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,ENA PW Equity 2021,22416.0,292.41,,,,,,,,,,,,,,,,,,7590.8543,21196.671,3756.6763,ENEA SA,441.4426,8.51,7231.476,4572.874,34657.143

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1404942.5679822345,18327.05461740209,0.0,1423269.6225996367
BMO,565472.4821513102,7376.419009005381,0.0,572848.9011603156
TD,1103109.017936946,14389.726442493864,0.0,1117498.7443794399
Scotiabank,1012745.1225968018,13210.956517600413,0.0,1025956.0791144023
CIBC,157653.49173150744,2056.5425373487733,0.0,159710.03426885622
National Bank of Canada,59675.734105704025,778.4520614672072,0.0,60454.18616717123
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,516644.7117096568,6739.47538146952,0.0,523384.18709112634
Healthcare of Ontario Pension Plan Trust Fund,660681.5625823284,8618.392920891269,0.0,669299.9555032197
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
