year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,EPD US Equity 2021,9960.11,,,,,,,,,,,,,,,,,,,76042.3957,40806.9,47793.2957,ENTERPRISE PRODUCTS PARTNERS,2183.3,21.96,29910.1,2820.0,67526.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,149836.90628139712,0.0,0.0,149836.90628139712
BMO,27858.87613103024,0.0,0.0,27858.87613103024
TD,24631.806285959894,0.0,0.0,24631.806285959894
Scotiabank,610.4028140917682,0.0,0.0,610.4028140917682
CIBC,87164.64657343143,0.0,0.0,87164.64657343143
National Bank of Canada,1553.203200213707,0.0,0.0,1553.203200213707
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,60566.38041933568,0.0,0.0,60566.38041933568
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1676.3674416367987,0.0,0.0,1676.3674416367987
OMERS,0.0,0.0,0.0,0.0
CPPIB,27958.699602505127,0.0,0.0,27958.699602505127
Healthcare of Ontario Pension Plan Trust Fund,3510.701879887308,0.0,0.0,3510.701879887308
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
