year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,EPM US Equity 2021,,0.005,,,,,,,,,,,,,,,,,,161.0426,32.7024,166.2342,EVOLUTION PETROLEUM CORP,33.2637,4.96,0.085,5.2765,76.7057

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.0,52.628340016675274,0.0,52.628340016675274
BMO,0.0,13.700971280278067,0.0,13.700971280278067
TD,0.0,3.8939640579375365,0.0,3.8939640579375365
Scotiabank,0.0,6.491293608655741,0.0,6.491293608655741
CIBC,0.0,23.675092129056477,0.0,23.675092129056477
National Bank of Canada,0.0,0.17451282588059497,0.0,0.17451282588059497
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.026197978514649816,0.0,0.026197978514649816
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.6246307919790273,0.0,0.6246307919790273
OMERS,0.0,0.0,0.0,0.0
CPPIB,0.0,10.334365611889732,0.0,10.334365611889732
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.3360920917596981,0.0,0.3360920917596981
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
