year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,HPCL IN Equity 2021,3854.2,670.0,1360.0,,,,370.0,,,,,990.0,,,,,,,,717977.6559,2332484.5,340498.9559,HINDUSTAN PETROLEUM CORP,2266.5865,156.33,437087.3,59608.6,1341738.5

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,11992.80171595968,2084.7846893500564,4231.801757486682,18309.38816279642
BMO,15044.284783958128,2615.2433203393557,5308.553605464962,22968.081709762446
TD,2244.102097113068,390.10648255559016,791.8579347397053,3426.066514408363
Scotiabank,1147.762772919563,199.52287319187047,405.00165304618486,1752.2872991576185
CIBC,5817.946889040666,1011.37056085757,2052.9312877108887,8882.248737609125
National Bank of Canada,2195.678255235437,381.68865938657643,774.7710100981253,3352.137924720139
Sun Life Financial,6.938713200324383,1.2062004681172065,2.448406920357314,10.593320588798903
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,94.65174515679035,16.453912421527047,33.398986407875796,144.5046439861932
Fairfax,148.84841530875306,25.87526289680467,52.522921700976646,227.24659990653439
Intact Financial,195.16687275692172,33.92709375412214,68.8669365755315,297.96090308657534
OMERS,0.0,0.0,0.0,0.0
CPPIB,4300.451444056836,747.574715250397,1517.4650936425971,6565.491252949831
Healthcare of Ontario Pension Plan Trust Fund,1306.7419358862123,227.1592281261383,461.09932873365386,1995.0004927460045
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,170.207879923781,29.58831392998113,60.05986111160349,259.8560549653656
