year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,IRE IM Equity 2021,3978.36,111.869,4538.44,993.814,7.19,470.642,107.164,57.759,0.22,12.75,,,,2673.9199,,9.268,,205.715,,6920.582,4955.871,3405.283,IREN SPA,1283.304,2.654,3945.375,810.052,10170.621

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,136392.08200904302,3835.260213321477,155593.6465825307,295820.9888048952
BMO,126358.80263696145,3553.1306599187205,144147.86100840956,274059.79430528975
TD,202124.78235729603,5683.622718288026,230580.33493166356,438388.7400072476
Scotiabank,44983.8599141393,1264.9180629040231,51316.78245761072,97565.56043465405
CIBC,28928.042679565842,813.4385039363837,33000.59345607986,62742.07463958209
National Bank of Canada,10569.524741409157,297.2084384763322,12057.524695979746,22924.257875865234
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,4877.613108807696,137.15543612674773,5564.293755467607,10579.06230040205
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,286.2311884210505,8.048642359533702,326.52741798552427,620.8072487661085
Healthcare of Ontario Pension Plan Trust Fund,18856.20971883982,530.2248476851997,21510.826637903516,40897.261204428534
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
