year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,ITMG IJ Equity 2021,1724.9,2.801,36931.699,,,,,,,,,,,,,,,,36932.0,921.2973,2076.813,1568.0453,INDO TAMBANGRAYA MEGAH TBK P,1096.556,20400.0,51.969,690.97,1666.239

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,5933018.166248131,9634.404245846725,127032423.28011826,132975075.85061224
BMO,2002720.4506145327,3252.1421428322255,42880440.42094957,44886413.01370694
TD,1890993.5009530657,3070.7129666470737,40488243.94295242,42382308.15687213
Scotiabank,1113485.3865510137,1808.1468883583914,23840942.835006107,24956236.36844548
CIBC,1071999.8799141839,1740.7801400890653,22952692.657539934,24026433.317594208
National Bank of Canada,357723.8046630413,580.8941833504427,7659258.828810622,8017563.527657013
Sun Life Financial,133.10387142514313,0.21614235252004516,2849.8998083792603,2983.2198221569233
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,958.1278678619808,1.5558676780575154,20514.568042135008,21474.251777675046
Fairfax,1685.2490167216472,2.7366122649645392,36083.0289788184,37771.01460780502
Intact Financial,184055.15338109175,298.88021602437124,3940822.6127140587,4125176.6463111746
OMERS,0.0,0.0,0.0,0.0
CPPIB,523681.2316582947,850.3861846338241,11212589.279149015,11737120.896991942
Healthcare of Ontario Pension Plan Trust Fund,106137.68709360629,172.35298367974448,2272524.238936209,2378834.279013495
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
