year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,NHC AU Equity 2021,616.966,85.813,,,,,,,,,,,,,,,,,,1832.4931,1048.239,1659.2581,NEW HOPE CORP LTD,832.3482,1.995,597.898,424.663,2775.867

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,361244.14651584346,50244.97937481818,0.0,411489.1258906616
BMO,457862.57694809505,63683.51143441759,0.0,521546.0883825126
TD,85736.75386246419,11925.013792007403,0.0,97661.7676544716
Scotiabank,41684.648335301186,5797.86362230204,0.0,47482.51195760323
CIBC,189271.63964665896,26325.546647625226,0.0,215597.18629428418
National Bank of Canada,71739.1213844308,9978.101262244856,0.0,81717.22264667565
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,3109.2629241948557,432.4633437076486,0.0,3541.7262679025043
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,3939.564778981642,547.9489507991553,0.0,4487.513729780798
OMERS,0.0,0.0,0.0,0.0
CPPIB,122045.82050737014,16975.194735526682,0.0,139021.01524289683
Healthcare of Ontario Pension Plan Trust Fund,43067.49320675306,5990.201720274863,0.0,49057.69492702792
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,5591.2445098203825,777.6789403649739,0.0,6368.923450185356
