year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,NMDC IN Equity 2021,32.563,61.488,1.716,,,1.72,,,,,,,,,,,,,,375905.5513,153700.6,414421.3513,NMDC LTD,8791.8176,32.33,20002.8,58654.0,369297.9

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,103.00582596937255,194.50364607698242,5.440838395335835,302.9503104416908
BMO,97.59572769145593,184.28787594178186,5.155073292672794,287.0386769259106
TD,12.345565644604857,23.31186132590558,0.652101247081668,36.3095282175921
Scotiabank,5.21319028139562,9.843953076266127,0.2753642871971399,15.332507644858886
CIBC,38.413402842451475,72.53518760484772,2.029022291834798,112.97761273913399
National Bank of Canada,14.706182938890485,27.769363281838224,0.7767906720784827,43.25233689280719
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,16.138126805051034,30.473271534839473,0.8524269294809377,47.46382526937144
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1.4645523332619859,2.765482107533488,0.07735865900594585,4.30739309980142
OMERS,0.0,0.0,0.0,0.0
CPPIB,29.524884732935817,55.75119345449613,1.5595246672803367,86.83560285471229
Healthcare of Ontario Pension Plan Trust Fund,8.59425615940749,16.22834575222331,0.4539545064699469,25.276556418100746
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1.1815265537453983,2.2310507243404185,0.06240904316070647,3.474986321246523
