year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,SO US Equity 2021,82465.398,174.095,34845.801,1104.62,1154.65,14022.2998,34.907,27.994,12.986,27.782,17.473,,,18443.0,,,,0.104,,133734.42,23113.0,75369.42,SOUTHERN CO/THE,1061.0,68.58,55470.0,1798.0,127534.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,346188.8379557651,730.8489039719292,146282.3532292009,493202.0400889379
BMO,238487.34593510203,503.477282563671,100773.00696572695,339763.8301833926
TD,84124.7629426895,177.59813157644044,35546.98170158137,119849.34277584731
Scotiabank,54917.54157609279,115.9379525542322,23205.4483984831,78238.92792713012
CIBC,53581.585282970205,113.11757799117997,22640.93906443489,76335.64192539628
National Bank of Canada,9782.788875355549,20.652718237714975,4133.724779463608,13937.166373056873
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,16625.59858640281,35.09876452545342,7025.159157135613,23685.856508063876
OMERS,0.0,0.0,0.0,0.0
CPPIB,317489.30186354095,670.2605134814623,134155.34271971314,452314.9050967356
Healthcare of Ontario Pension Plan Trust Fund,71040.92563461413,149.97647799332938,30018.39643004285,101209.29854265031
OTPP,1843.641567495146,3.892163094793618,779.0321276586712,2626.5658582486108
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
