year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,TATN RX Equity 2021,7450.0,5410.0,124632.0,823.248,,,,,1.14,,,,,123800.0,7.16,,,,,1026954.51,1265380.0,1052578.51,TATNEFT PJSC,2103.0,500.5,224342.0,255699.0,1502289.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,32923.953387572015,23908.535278760348,550787.017043348,607619.5057096804
BMO,10509.251371662527,7631.550324925405,175809.96869415088,193950.77039073882
TD,9674.977308818512,7025.7217772762615,161853.3421292517,178554.04121534646
Scotiabank,5391.430041641264,3915.1189966817774,90193.59356019532,99500.14259851836
CIBC,5347.611029983882,3883.298747948027,89460.5423850692,98691.45216300111
National Bank of Canada,2034.3388447100256,1477.28498656124,34032.59051983115,37544.21435110242
Sun Life Financial,0.856420676876635,0.6219108539466571,14.327118751455414,15.805450282278706
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,2786.835349697573,2023.7287572971634,46621.15485287648,51431.71895987122
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1277.2063434964105,927.4746735994069,21366.47029602381,23571.151313119626
OMERS,0.0,0.0,0.0,0.0
CPPIB,3767.6352047126634,2735.9605983215447,63029.02118961559,69532.6169926498
Healthcare of Ontario Pension Plan Trust Fund,645.1891175319549,468.51988266414446,10793.411875269998,11907.120875466097
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
