year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,005490 KS Equity 2022,77656.5,3504.1,18914.1,7243.0,1.0,1390.0,1613.0,160.0,2.704,11.0,,496.0,1137.0,4812.0,,1888.0,,161.0,,33060704.97,84800000.0,20972297.44,POSCO HOLDINGS INC,75.8149,276500.0,25129144.0,18778383.0,98406780.93

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,474.8709828998115,21.42763852580569,115.66377675711624,611.9623981827334
BMO,330.7426815228308,14.924126510004331,80.55861288070689,426.22542091354205
TD,327.87670409847095,14.794804798457978,79.86055007009286,422.5320589670218
Scotiabank,254.10555652027793,11.466023843499332,61.892196871302815,327.4637772350801
CIBC,114.72055886500911,5.176544272776631,27.942354003157796,147.83945714094352
National Bank of Canada,171.31065314988206,7.730063287715796,41.725937898008375,220.76665433560623
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,108.6849733330885,4.904200099881856,26.472273407161826,140.06144684013216
Healthcare of Ontario Pension Plan Trust Fund,161.0168324267291,7.2655744529627455,39.21868387538948,207.50109075508135
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.5443135418357866,0.02456110025492753,0.13257782062049564,0.7014524627112098
