year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,096770 KS Equity 2022,9116.62,2026.41,138749.0,20050.0,,485.0,1080.0,42.0,3.921,19.0,,470.0,,109854.0,6746.0,,,,,33006121.87,78056939.45,13410182.15,SK INNOVATION CO LTD,87.7523,151529.0,27168222.82,11053451.27,67218923.37

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,87.18524740694892,19.379227959256315,1326.9113103408517,1433.475785707057
BMO,60.72361452897938,13.4974299375941,924.1798735419861,998.4009180085596
TD,60.19742750175844,13.380470949084014,916.171597617561,989.7494960684035
Scotiabank,46.65321026232296,10.369910318481395,710.0360921365263,767.0592127173308
CIBC,21.062437309250125,4.681683956097494,320.5586623908759,346.30278365622354
National Bank of Canada,31.452251698162055,6.99109509485671,478.6858987642461,517.1292455572649
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,19.95431734236362,4.435374975126643,303.6936885448645,328.0833808623547
Healthcare of Ontario Pension Plan Trust Fund,29.562329300650102,6.571009838967773,449.92232373853324,486.0556628781511
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.09993474547994863,0.022213141228659597,1.5209516290574772,1.6430995157660855
