year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,9104 JP Equity 2022,10112.1,39.018,2455.44,43.3,511.9,2186.9,,0.9,2.045,0.1,,,,442.5,,,,,,2193374.02,1269310.0,1234042.02,MITSUI OSK LINES LTD,359.778,3420.0,1000696.0,100878.0,2686701.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,978.1607672484281,3.774278024989781,308.34636513836057,1290.2814104117786
BMO,99.55244708766075,0.3841276669006781,31.381993868409765,131.31856862297118
TD,54.72147844690087,0.21114532550520446,17.24989341124705,72.18251718365312
Scotiabank,58.71209839353769,0.22654331495130123,18.507859582447605,77.4465012909366
CIBC,43.65918496033061,0.16846096051089088,13.762718193339966,57.59036411418147
National Bank of Canada,27.05755043900369,0.10440279497127658,8.52937227372533,35.6913255077003
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,45.86344936617312,0.17696621546160965,14.457570144167375,60.49798572580211
Fairfax,10.816464742424248,0.041735823549995485,3.409682435286928,14.267883001261172
Intact Financial,2.949944929752068,0.01138249733181695,0.9299133914418896,3.8912408185257745
OMERS,0.0,0.0,0.0,0.0
CPPIB,2.368150235273188,0.009137615913597496,0.7465138059075168,3.1238016570943024
Healthcare of Ontario Pension Plan Trust Fund,47.256478916333826,0.18234128364607877,14.896695912348267,62.33551611232817
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
