year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,AEP US Equity 2022,51192.5,367.281,41759.199,527.681,,41198.6016,,0.0,7.847,25.029,,,,,,,,,,89855.7844,19600.0,48791.5844,AMERICAN ELECTRIC POWER,511.8419,94.95,41579.3,744.1,93403.3

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,640098.4595818947,4592.391509180014,522146.27324893355,1166837.1243400082
BMO,107001.3362283845,767.6819411299954,87283.99218582868,195053.0103553432
TD,211522.345746985,1517.568758476308,172544.71228192377,385584.6267873851
Scotiabank,48338.04223623449,346.80166998225206,39430.697312231576,88115.54121844831
CIBC,41011.42573267205,294.23680137757526,33454.17066138152,74759.83319543114
National Bank of Canada,12684.91959445367,91.00805691401159,10347.444824398855,23123.372475766537
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,203596.6317174976,1460.7056598883473,166079.48496980558,371136.8223471915
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,137665.47684604398,987.6820628313108,112297.59205662116,250950.75096549644
Healthcare of Ontario Pension Plan Trust Fund,9836.321025475861,70.57076373605118,8023.7630462149955,17930.654835426907
OTPP,5121.182178703752,36.74196243153769,4177.491992381375,9335.416133516665
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,681.9849244329931,4.892906285699548,556.3142378709063,1243.1920685895989
