year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,ATH CN Equity 2022,786.406,64.194,,,,,,,,,,,,,,,,,,1457.5745,850.611,1413.4385,ATHABASCA OIL CORP,568.0356,2.41,241.661,197.525,2230.354

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2442012.3229627605,199340.4667058383,0.0,2641352.7896685987
BMO,1068137.149815857,87191.59848129225,0.0,1155328.7482971493
TD,619761.6269345995,50590.88801387539,0.0,670352.5149484748
Scotiabank,454487.8909227391,37099.66056959677,0.0,491587.55149233586
CIBC,280417.81969006784,22890.391880509836,0.0,303308.2115705777
National Bank of Canada,379270.6009267471,30959.70396448095,0.0,410230.30489122804
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,3849.0225842864756,314.19413862010975,0.0,4163.216722906585
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,28716.334582650747,2344.10264189068,0.0,31060.437224541427
OMERS,0.0,0.0,0.0,0.0
CPPIB,79566.49634773639,6494.980540009346,0.0,86061.47688774574
Healthcare of Ontario Pension Plan Trust Fund,118906.86768189773,9706.318954804188,0.0,128613.18663670191
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,8623.85805961844,703.9620047140361,0.0,9327.820064332476
