year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,BODL IN Equity 2022,134939.0,168.486,,,,,,,,,,,,,,,,,,18969.8441,20506.21,12364.5241,BODAL CHEMICALS LTD,125.4814,100.95,6756.8,151.48,21223.11

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,6223650.222332455,7770.903381230823,0.0,6231421.125713686
BMO,1878861.8948140512,2345.9631775071716,0.0,1881207.8579915585
TD,686463.7870696535,857.1246091064677,0.0,687320.91167876
Scotiabank,326976.38391112845,408.2655349428289,0.0,327384.6494460713
CIBC,372594.3968195266,465.22457956954446,0.0,373059.62139909616
National Bank of Canada,96005.18171176521,119.87289846440592,0.0,96125.05461022962
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,73207.08865778345,91.40700271674831,0.0,73298.4956605002
OMERS,0.0,0.0,0.0,0.0
CPPIB,8468078.28422608,10573.315629996629,0.0,8478651.599856077
Healthcare of Ontario Pension Plan Trust Fund,96267.10331698088,120.19993604121001,0.0,96387.3032530221
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
