year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,BYAN IJ Equity 2022,551.101,24.793,,,,,,,,,,,,,,,,,,43414.7691,,45140.9023,BAYAN RESOURCES TBK PT,33333.335,21000.0,0.0,1826.8768,3945.4589

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,3276.6413818671053,147.40994805059535,0.0,3424.0513299177005
BMO,717.2105296397675,32.265956079482265,0.0,749.4764857192498
TD,2184.533394583918,98.27805874407609,0.0,2282.811453327994
Scotiabank,429.6890360563306,19.330903538452308,0.0,449.01993959478295
CIBC,241.7763856705186,10.877065964186542,0.0,252.65345163470516
National Bank of Canada,83.59134077388612,3.7606175851739674,0.0,87.35195835906008
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,68.33076300736681,3.074072823750357,0.0,71.40483583111717
Fairfax,16.115170121444383,0.7249912680633324,0.0,16.840161389507713
Intact Financial,4.39504639675756,0.19772489128999976,0.0,4.59277128804756
OMERS,0.0,0.0,0.0,0.0
CPPIB,706.2595390345132,31.773291558684683,0.0,738.0328305931979
Healthcare of Ontario Pension Plan Trust Fund,100.62214556132166,4.526801538922717,0.0,105.14894710024437
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
