year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,DALBHARA IN Equity 2022,12548.2,445.378,1253.89,88.59,10.2,931.43,125.5,,,,,98.18,,,,,,,,257918.5873,112860.0,280228.5873,DALMIA BHARAT LTD,187.1569,1495.6,31760.0,54790.0,248710.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,34367.455486223334,1219.8170725317716,3434.225819972222,39021.49837872733
BMO,17509.849148070844,621.4836864147443,1749.7011401448833,19881.03397463047
TD,9753.148028662956,346.1721651479774,974.5997284981495,11073.919922309082
Scotiabank,9380.322706997425,332.9393352510399,937.3445308732781,10650.606573121744
CIBC,2736.4554686887222,97.12604706122357,273.4449173737101,3107.026433123656
National Bank of Canada,1693.6550734272644,60.11353893728886,169.24133314502848,1923.0099455095817
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,72.72019245553967,2.5810852453310713,7.2666875982213535,82.5679652990921
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,300.3737998717735,10.661280680837947,30.01535739462367,341.0504379472351
OMERS,0.0,0.0,0.0,0.0
CPPIB,41068.99735992782,1457.6774283299537,4103.888668463483,46630.563456721255
Healthcare of Ontario Pension Plan Trust Fund,1236.1984933005442,43.87685983242295,123.52921460843405,1403.6045677414013
OTPP,55.07748566521786,1.9548859924613404,5.503710434613462,62.53608209229266
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
