year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,HIBI MK Equity 2022,6487.44,2.796,26.272,,,,26.272,,0.0,,,,,,,,,,,2020.7917,1696.521,2012.4187,HIBISCUS PETROLEUM BHD,803.4156,2.5,557.759,549.386,5512.418

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,476569.6708741576,205.39516354126505,1929.95054955512,478705.01658725395
BMO,313753.332186786,135.22349598520427,1270.5978850226347,315159.15356779384
TD,285452.4444242145,123.02619131893377,1155.988590247149,286731.4592057806
Scotiabank,710823.2658342918,306.35533450369945,2878.6006252078655,714008.2217940034
CIBC,107674.90057610774,46.40644414604177,436.04796158970294,108157.35498184348
National Bank of Canada,207812.78377109097,89.56453445796345,841.5734797137394,208743.92178526268
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,130550.29635731372,56.265434225988855,528.685796847346,131135.24758838705
Healthcare of Ontario Pension Plan Trust Fund,141539.89954476172,61.00180643322385,573.1900781880033,142174.09142938294
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,473.88432635812813,0.20423781591773124,1.9190757867634602,476.00763996080934
