year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,HNDL IN Equity 2022,27910.0,1520.0,,,,,,,,,,,,,,,,,,1721325.955,1950590.0,1280075.955,HINDALCO INDUSTRIES LTD,2224.0714,569.5,669420.0,228280.0,2230620.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,10612.256793777522,577.9516419398723,0.0,11190.208435717394
BMO,3073.210144002744,167.36938082709318,0.0,3240.5795248298373
TD,830.0551977792599,45.20544251610444,0.0,875.2606402953643
Scotiabank,3783.0196255815144,206.02614944048378,0.0,3989.0457750219985
CIBC,683.4273752138404,37.219978872269344,0.0,720.6473540861098
National Bank of Canada,426.97585863176374,23.253432644940197,0.0,450.2292912767039
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,146.25716487268915,7.965277341687119,0.0,154.22244221437626
OMERS,0.0,0.0,0.0,0.0
CPPIB,15212.511221648561,828.4850253280478,0.0,16040.996246976609
Healthcare of Ontario Pension Plan Trust Fund,181.7748931937402,9.899600059279294,0.0,191.6744932530195
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
