year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,PETR3 BS Equity 2022,47600.0,200.0,447124.0,2101.81,0.0,937.144,2596.48,34.721,8.324,26.043,0.0,0.0,16904.1,424515.0,0.0,0.0,0.0,0.0,,537724.9309,641256.0,319582.9309,PETROBRAS - PETROLEO BRAS,13044.2013,28.04,280703.0,64352.0,976709.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,584457.193236161,2455.702492588912,5490012.965203912,6076925.860932662
BMO,214749.87355152264,902.3103930736246,2017221.4555966137,2232873.63954121
TD,137843.76617343302,579.1754881236682,1294815.2101173622,1433238.151778919
Scotiabank,72908.44706374775,306.33801287288964,684854.8093600452,758069.5944366659
CIBC,71493.17998823072,300.39151255559125,671560.7055595722,743354.2770603586
National Bank of Canada,63269.5280159595,265.83835300823324,594313.0363177791,657848.4026867468
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,56757.54192790652,238.47706692397696,533143.6496349248,590139.6686297554
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,7474.01619126962,31.403429375082435,70206.07542704027,77711.49504768498
OMERS,0.0,0.0,0.0,0.0
CPPIB,11735.903383318024,49.31051841730262,110239.48798721026,122024.7018889456
Healthcare of Ontario Pension Plan Trust Fund,3679.66460751925,15.460775661845586,34564.390064269224,38259.51544745032
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
