year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,RWE GR Equity 2022,85352.602,132.958,23766.4,1531.07,1178.57,4469.2,21.988,202.472,8.122,20.553,,5.381,58.476,12771.3,,,,3499.25,,30998.9627,38366.0,28748.9627,RWE AG,691.247,41.59,21003.0,20456.0,138548.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,292352.42259254085,455.41193229304304,81405.36071717831,374213.1952420122
BMO,71508.76340216615,111.39276298132314,19911.57325658918,91531.72942173666
TD,19190.92612437109,29.894661625478406,5343.702131138109,24564.522917134676
Scotiabank,18540.738497323244,28.88183196954094,5162.657767474859,23732.278096767644
CIBC,40376.948528998575,62.8971841130115,11242.93765214701,51682.7833652586
National Bank of Canada,10254.557369055963,15.974034847525125,2855.375489008513,13125.906892912
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,1757.5848183211144,2.7378774260957943,489.39846250522277,2249.721158252433
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,10014.077013846485,15.599426618616747,2788.4138750508723,12818.090315515974
Healthcare of Ontario Pension Plan Trust Fund,555.1830422737305,0.864836281553908,154.59039271702142,710.6382712723058
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
