year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,SUNF IN Equity 2022,1754.49,182.632,182.137,,,,,,,,,,,,,,,,,17068.4143,26982.6,11344.8143,SUNFLAG IRON & STEEL CO LTD,180.2194,62.95,5867.6,159.4,30867.6

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,403343.98074986564,41985.71544569047,0.0,445329.6961955561
BMO,225445.6803510658,23467.557805331373,0.0,248913.23815639716
TD,138503.98103122765,14417.442711953427,0.0,152921.42374318108
Scotiabank,71760.8208298306,7469.875707352918,0.0,79230.69653718351
CIBC,83495.91425396888,8691.429311099433,0.0,92187.34356506831
National Bank of Canada,85561.12738487046,8906.405745574873,0.0,94467.53313044533
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,302.96184839270575,31.536531012235255,0.0,334.498379404941
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,14450.76981912344,1504.2394049587926,0.0,15955.009224082232
OMERS,0.0,0.0,0.0,0.0
CPPIB,10343.695899896748,1076.7173763258513,0.0,11420.413276222598
Healthcare of Ontario Pension Plan Trust Fund,23673.089321523756,2464.228151182695,0.0,26137.31747270645
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
