year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,TETY SS Equity 2022,268.36,0.067,299.595,0.699,6.786,47.885,0.032,13.538,0.063,0.019,,5.63,13.499,211.363,,,,0.081,,146.3363,156.5,187.7363,TETHYS OIL AB,32.5437,60.5,0.1,41.5,316.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,5332076.938769966,1331.2310139275144,5952688.889815128,11286097.059599021
BMO,1981663.3842256402,494.751254818594,2212313.4654832333,4194471.600963692
TD,1302908.1889863603,325.29009040872756,1454556.4871045183,2757789.9661812875
Scotiabank,697015.0130795162,174.01999506754953,778142.0958546641,1475331.1289292478
CIBC,681073.7661283406,170.04002955208983,760345.4127411693,1441589.2188990621
National Bank of Canada,604586.6569225024,150.94390376288445,674955.8036991247,1279693.4045253901
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,238368.24205015227,59.512118860337615,266112.43656660966,504540.19073562225
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,71729.8934729192,17.908417285309234,80078.69069540626,151826.49258561077
OMERS,0.0,0.0,0.0,0.0
CPPIB,82915.3541430187,20.70103118043767,92566.05129109288,175502.10646529202
Healthcare of Ontario Pension Plan Trust Fund,28843.479284507048,7.201196572000194,32200.634134155196,61051.314615234245
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
