year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,TOBA IJ Equity 2022,1390.56,7.422,,,,,,,,,,,,,,,,,,662.1399,635.7904,314.0664,TBS ENERGI UTAMA TBK PT,8049.964,605.0,367.6751,105.2944,899.3296

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,19345051.174910784,103252.62471248118,0.0,19448303.799623266
BMO,7442873.195222411,39725.725502632566,0.0,7482598.920725044
TD,5147335.919792756,27473.483486294615,0.0,5174809.403279051
Scotiabank,2362739.3692543996,12610.927682808477,0.0,2375350.296937208
CIBC,2248277.0863740915,11999.994631708454,0.0,2260277.0810058
National Bank of Canada,2125482.0626466246,11344.58625946615,0.0,2136826.6489060908
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,89273.67359259061,476.4909140232767,0.0,89750.16450661389
Fairfax,5844.430349760432,31.194167857497643,0.0,5875.62451761793
Intact Financial,223770.84081582745,1194.3585178166145,0.0,224965.19933364406
OMERS,0.0,0.0,0.0,0.0
CPPIB,1065032.3136763435,5684.522661449935,0.0,1070716.8363377934
Healthcare of Ontario Pension Plan Trust Fund,119810.82217008885,639.4804410787017,0.0,120450.30261116756
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
