year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,VST US Equity 2022,94785.102,220.138,2361.43,,,15.585,,,0.622,18.86,,,,2361.4299,,,,,,23207.313,13728.0,9042.313,VISTRA CORP,422.4471,23.2,12674.0,455.0,32787.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,68398752.90270464,158855.81540541674,1729358.2623901982,70286966.98050025
BMO,29745977.851708513,69084.90822027506,752081.7323073421,30567144.49223613
TD,21948616.43787491,50975.569192307325,554937.3281537036,22554529.33522092
Scotiabank,5806419.05283991,13485.383783773024,146806.4597349041,5966710.896358587
CIBC,7666666.905499733,17805.801583068405,193839.9926220758,7878312.699704877
National Bank of Canada,5610503.079086292,13030.369760259351,141853.02281439496,5765386.471660946
Sun Life Financial,13700.49104847399,31.819332730463987,346.3960436118502,14078.706424816304
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,2857050.2973978007,6635.487276983224,72236.16408470931,2935921.9487594934
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,534717.4819232645,1241.879098633281,13519.516894172984,549478.8779160707
OMERS,0.0,0.0,0.0,0.0
CPPIB,644206.1039594626,1496.1659619612813,16287.769897635706,661990.0398190595
Healthcare of Ontario Pension Plan Trust Fund,394882.3246266746,917.1125350339012,9983.997979267031,405783.4351409755
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,94048.05331821625,218.42620754225163,2377.8617469667333,96644.34127272523
