year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,002608 CH Equity 2023,55962.5,22.747,,,,,,,,,,,,,,,,,,53581.1279,34572.186,24821.9837,JIANGSU GUOXIN CORP LTD-A,3778.0797,6.57,39450.8928,21507.8811,88872.3516

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2055546.6760499084,835.5152153693502,0.0,2056382.1912652778
BMO,2146085.0513128005,872.3162235820823,0.0,2146957.3675363827
TD,404408.3501271496,164.37930293218264,0.0,404572.7294300818
Scotiabank,914027.7122573406,371.523580446151,0.0,914399.2358377867
CIBC,125919.0895166046,51.18215821727415,0.0,125970.27167482187
National Bank of Canada,211966.39342326214,86.15768686529272,0.0,212052.55111012745
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,478788.3376339498,194.61243361464295,0.0,478982.95006756444
Healthcare of Ontario Pension Plan Trust Fund,365287.33096380206,148.47783636244995,0.0,365435.8088001645
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,62063.35958555963,25.226807960557963,0.0,62088.586393520185
