year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,8058 JP Equity 2023,19518.5,1746.0,326365.0,2804.6,1374.0,185.5,24.4,1119.7,10.362,18.8,,,,306939.0,7.7,,,13881.0,,12704742.37,21571973.0,6788193.372,MITSUBISHI CORP,4376.783,1583.7,6557570.0,1694417.0,22147501.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,331.24435255112826,29.6309982608433,5538.672728821314,5899.548079633286
BMO,249.9147936765641,22.355776814779873,4178.77691077537,4451.047481266714
TD,103.22255025766229,9.233628237307085,1725.9642910387613,1838.4204695337307
Scotiabank,24.9581251911337,2.2325940304695258,417.3199823453703,444.5107015669735
CIBC,16.280288575138133,1.4563303456818495,272.2195553040883,289.9561742249083
National Bank of Canada,10.135644158841739,0.9066698107609538,169.47614490408185,180.51845887368455
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,4.10313878430274,0.36704051629954065,68.60778972429071,73.077969024893
Intact Financial,1.492311863386911,0.13349266149927233,24.95265793055843,26.578462455444615
OMERS,0.0,0.0,0.0,0.0
CPPIB,31.260914409908477,2.796401186551231,522.7077013892703,556.76501698573
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1.095512177168426,0.09799750295033285,18.317847151334803,19.51135683145356
