year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,AEP US Equity 2023,43351.102,1212.96,40349.301,2293.6101,,38023.8008,,,6.529,25.385,,,,,,,,,,85791.112,19000.0,42736.712,AMERICAN ELECTRIC POWER,518.9037,81.22,43608.5,593.3,96684.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,708126.8710209151,19813.32722461194,659093.7685792462,1387033.9668247732
BMO,175185.80672996087,4901.683378917873,163055.34824964305,343142.8383585218
TD,251478.05243482467,7036.333666473922,234064.86051754755,492579.24661884614
Scotiabank,35016.265197004395,979.7520033829463,32591.620421056254,68587.6376214436
CIBC,34851.9362583626,975.1540942129568,32438.670174584324,68265.76052715987
National Bank of Canada,54986.28874664012,1538.511496158151,51178.85191669167,107703.65215948994
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,3087.7610446025888,86.39528094720997,2873.9540139540914,6048.11033950389
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,92886.42537919154,2598.9539672588753,86454.65474959795,181940.03409604836
Healthcare of Ontario Pension Plan Trust Fund,6102.487005364381,170.747046707758,5679.930140587325,11953.164192659464
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,2190.0381390594575,61.2770734444896,2038.3924823018674,4289.707694805815
