year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,CVX US Equity 2023,52000.0,2000.0,576000.0,,,,,,,,,,,576000.0,,,,,,297099.0264,200949.0,278280.0264,CHEVRON CORP,1873.0,149.16,26070.0,8223.0,261632.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1380885.7680919066,53110.99108045794,15295965.431171888,16729962.190344254
BMO,563907.507233153,21688.75027819819,6246360.0801210785,6831956.33763243
TD,359337.7551871613,13820.682891813896,3980356.6728424025,4353515.110921377
Scotiabank,78529.7467544009,3020.374875169266,869867.9640487485,951418.0856783186
CIBC,228925.5496491501,8804.828832659618,2535790.70380597,2773521.0822877795
National Bank of Canada,63490.89522725445,2441.9575087405556,703283.7625172801,769216.615253275
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,3859.4505466095497,148.44040563882885,42750.83682398271,46758.72777623109
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,162.5700578846862,6.252694534026392,1800.7760257996008,1969.5987782183133
Intact Financial,1281.3136631210266,49.2812947354241,14193.012883802141,15523.607841658591
OMERS,18390.037065197004,707.3091178921923,203705.0259529514,222802.3721360406
CPPIB,41551.78562251279,1598.1456008658765,460265.93304937246,503415.86427275115
Healthcare of Ontario Pension Plan Trust Fund,31119.08573543243,1196.8879129012473,344703.7189155592,377019.69256389287
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,15488.254963023102,595.702113962427,171562.208821179,187646.16589816453
