year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,ENA PW Equity 2023,18262.699,299.608,26681.5,,,,,,,,,,,,,,,,,11261.0201,44020.952,4857.6341,ENEA SA,529.7311,9.17,8073.361,3170.644,39110.745

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,440852.95502989815,7232.39605222633,0.0,448085.35108212446
BMO,1751023.9802851763,28726.355983049445,0.0,1779750.3362682257
TD,841233.9538177649,13800.830996307439,0.0,855034.7848140723
Scotiabank,22132.689865010623,363.09698501169527,0.0,22495.78685002232
CIBC,128322.23041830178,2105.185373266381,0.0,130427.41579156817
National Bank of Canada,45663.94616959725,749.1380974948278,0.0,46413.084267092076
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,117017.15169839573,1919.7203428722635,0.0,118936.87204126798
Healthcare of Ontario Pension Plan Trust Fund,26557.724003131483,435.69171090922634,0.0,26993.415714040708
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,3541.5311453779527,58.100451822832845,0.0,3599.6315972007856
