year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,ENEV3 BZ Equity 2023,2709.61,2.644,643.542,569.981,0.0,0.0,0.513,0.003,2.446,1.042,0.0,15.108,0.0,54.448,0.0,0.0,0.0,0.0,,44822.5229,10090.9,21540.1659,ENEVA SA,1582.6723,13.61,23292.49,2592.639,43565.879

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,614562.4894244663,599.6815859250185,145960.54746133593,761122.7184717272
BMO,186091.28572264154,181.5853054316541,44197.27270907416,230470.14373714736
TD,182342.7691715225,177.92755477338267,43306.98809622445,225827.68482252033
Scotiabank,44151.710802747344,43.082629368235274,10486.171855621593,54680.96528773717
CIBC,119642.19739876747,116.74520315556158,28415.40271707006,148174.3453189931
National Bank of Canada,16966.38040981848,16.55555958368919,4029.569353270394,21012.505322672565
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,1277.1800578379018,1.2462546539625305,303.33432914739063,1581.760641639255
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,157.11591571353682,0.15331153972217088,37.315530099979405,194.5847573532384
OMERS,0.0,0.0,0.0,0.0
CPPIB,13277.993088251935,12.956482196824677,3153.565623837651,16444.51519428641
Healthcare of Ontario Pension Plan Trust Fund,4919.275420251058,4.800160986689522,1168.3435709285786,6092.419152166326
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,4899.903241692304,4.781257882512409,1163.7426168570037,6068.42711643182
