year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,FTS CN Equity 2023,8155.0,158.0,113074.0,,,96806.0,,,,,,,,16268.0,,,,,0.316,59602.7,11517.0,26737.7,FORTIS INC,486.3,54.5,30040.0,625.0,65920.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1829173.176451228,35439.52935368412,25362661.652087055,27227274.357891966
BMO,1189888.7888636643,23053.63931826597,16498572.76723817,17711515.1954201
TD,441565.66121992545,8555.16547795809,6122591.6752336975,6572712.501931581
Scotiabank,304948.51109108113,5908.260545970671,4228307.088515317,4539163.860152368
CIBC,256975.05226702374,4978.79316470751,3563124.250663146,3825078.096094877
National Bank of Canada,236284.7634613299,4577.92674762601,3276240.0992779485,3517102.789486904
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,1405.4402585113903,27.229866443261763,19487.33242305808,20920.002548012733
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,19773.153636999443,383.0972746346918,274167.48285305017,294323.7337646843
OMERS,30744.615655048863,595.6651469647726,426293.8547979819,457634.13559999556
CPPIB,96168.65268889995,1863.2307939725556,1333440.174547998,1431472.0580308705
Healthcare of Ontario Pension Plan Trust Fund,56468.320386570274,1094.0520688017295,782969.5528363322,840531.9252917042
OTPP,346.17506367413796,6.707009204232226,4799.939735280147,5152.821808158517
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,11564.077127052813,224.04956297662105,160343.36128911612,172131.48797914555
