year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,JKCE IN Equity 2023,7986.0,419.203,1469.97,480.11,5.4,408.34,162.31,0.84,0.164,0.58,0.0,412.22,0.0,0.0,0.0,0.0,0.0,0.0,,269346.0854,97201.992,225909.1854,JK CEMENT LTD,77.2683,2923.7,52921.8,9040.9,133068.1

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,43485.55468696759,2282.654017210227,8004.282483079593,53772.49118725741
BMO,41898.56521876512,2199.3493908592527,7712.169111349468,51810.08372097384
TD,8309.945320178203,436.2076143319137,1529.591843555025,10275.744778065142
Scotiabank,9847.408754367543,516.9125083968364,1812.5890761589192,12176.910338923299
CIBC,3517.444280067773,184.6385167214188,647.4475912478766,4349.530388037068
National Bank of Canada,5871.7160953474,308.2195094312442,1080.7927971927431,7260.728401971388
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,136.80638945812427,7.18127333834386,25.181626280168064,169.1692890766362
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,50.44514670716881,2.647978566877697,9.285318010800989,62.37844328484749
Intact Financial,18.346903392446123,0.963069990336037,3.3770708112163375,22.687044193998496
OMERS,0.0,0.0,0.0,0.0
CPPIB,7803.3728238125905,409.61649109199965,1436.34825063647,9649.33756554106
Healthcare of Ontario Pension Plan Trust Fund,5731.374657066069,300.85267347433853,1054.9604828949996,7087.1878134354065
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1035.0976459233427,54.3345903410973,190.5279584262535,1279.9601946906935
