year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,NEE US Equity 2023,42287.801,15.879,2671.31,,,2008.21,,,15.461,,,,,647.636,,,,,,207127.48,28114.0,124638.48,NEXTERA ENERGY INC,2026.1,60.74,73623.0,2690.0,177489.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,431978.00518753123,162.20703328538667,27287.91381475448,459428.1260355711
BMO,104485.12064940137,39.2339916372536,6600.291989327855,111124.64663036648
TD,41408.21486948493,15.548716848921778,2615.7438226300574,44039.50740896391
Scotiabank,18864.850656089515,7.083720517130825,1191.6866429532838,20063.62101955993
CIBC,165126.64824131358,62.00478590560475,10430.998086979236,175619.6511141984
National Bank of Canada,32216.68094760944,12.097310918746762,2035.1175350100546,34263.89579353824
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,160.48117622262404,0.06026041877275782,10.137545090408677,170.67898173180546
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,20815.73176238991,7.816273176630523,1314.9231847500064,22138.471220316547
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,3226.9269916561884,1.2117057990437623,203.8439563528053,3431.9826538080374
OMERS,49481.80909653263,18.580338255087835,3125.7502136900257,52626.13964847774
CPPIB,95278.31896234614,35.77685268626511,6018.701241815528,101332.79705684794
Healthcare of Ontario Pension Plan Trust Fund,1918.649157587609,0.7204496155601384,121.20045980182043,2040.5700670049894
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1068.4042789112962,0.4011840564807915,67.49076002050089,1136.2962229882778
