year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,ORI AU Equity 2023,1448.0,256.0,14236.1,11197.0,226.0,231.0,480.0,35.0,21.0,19.0,,,11.0,972.0,0.1,,,10.0,1034.0,8384.3134,7945.3,7101.1134,ORICA LTD,454.1741,15.59,2372.2,1152.1,8767.2

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,65123.88662882077,11513.615315592622,640269.4491965161,716906.9511409295
BMO,32182.97344751599,5689.807460334319,316408.859320568,354281.6402284183
TD,54499.47609624147,9635.266492153189,535814.9113630548,599949.6539514494
Scotiabank,6518.037016561374,1152.3601355246628,64082.47705211974,71752.87420420579
CIBC,6573.500994928486,1162.1659217553124,64627.77452617502,72363.44144285882
National Bank of Canada,8698.668577803588,1537.8861574017392,85521.48877104258,95758.04350624791
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,4732.790212869999,836.7363912256351,46530.71460596588,52100.24121006151
Fairfax,466.1421123059378,82.41186515906084,4582.904506214477,5131.458483679476
Intact Financial,2167.9890367614744,383.290879427443,21314.71597116024,23865.995887349156
OMERS,0.0,0.0,0.0,0.0
CPPIB,25670.645958139463,4538.456743980458,252382.5158319539,282591.6185340738
Healthcare of Ontario Pension Plan Trust Fund,6520.076133413107,1152.720642371378,64102.524753371785,71775.32152915627
OTPP,158.4393793795773,28.011381989759524,1557.706387282873,1744.1571486522098
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,481.0276653235815,85.04356514008072,4729.2527253543085,5295.32395581797
