year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,PAMP AR Equity 2023,8349.38,13.438,3.516,,,,,,0.858,2.658,,,,,,,,,,3140863.407,513727.0,2626283.407,PAMPA ENERGIA SA,1366.0,1931.6,1182225.0,674605.0,3817196.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1574.4194993423266,2.533966501963282,0.6630023977454159,1577.6164682420354
BMO,629.7665280721928,1.0135845540907382,0.2652004235885575,631.0453130498721
TD,1430.6228299602549,2.3025313962241394,0.6024483099511887,1433.5278096664301
Scotiabank,180.17899752888323,0.28999103751334027,0.07587501770329695,180.54486358409986
CIBC,347.2026233458208,0.5588090196542905,0.1462101885030872,347.9076425539782
National Bank of Canada,214.60932030326,0.3454052931158012,0.09037394036278888,215.0450995367386
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,24.8737622702423,0.040033345875683704,0.010474567949018002,24.924270184067
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.5531741609179652,0.0008903121398733339,0.00023294667984779299,0.5542974197376863
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,213.1469058548562,0.34305159435521654,0.08975810431261656,213.579715553524
Healthcare of Ontario Pension Plan Trust Fund,39.04010744869318,0.06283352343473875,0.016440144991556885,39.119381117119474
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,21.980724991878226,0.03537711571887489,0.009256283588894486,22.025358391185996
