year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,PPL US Equity 2023,25294.5,19.915,12424.0,,,8580.8496,,,1.264,6.947,,,,3834.95,,,,,,35333.223,8312.0,19976.223,PPL CORP,737.036,27.1,15688.0,331.0,39236.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2519959.2235979745,1984.027671547319,1237739.433693056,3759682.6849625777
BMO,1160064.5398281747,913.3481709730612,569793.9923504859,1730771.8803496337
TD,351675.2222379576,276.8828026198947,172733.8626516334,524685.9676922109
Scotiabank,708443.2229756346,557.7752786400112,347969.16767469,1056970.1659289647
CIBC,737795.70890353,580.8852336600368,362386.35703619244,1100762.9511733826
National Bank of Canada,291139.2812845552,229.22132427136003,143000.1587995689,434368.66140839545
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,6537.547338152963,5.147176470747247,3211.0758238832236,9753.770338506934
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,113241.51337317369,89.15790938056709,55621.33121857921,168952.00250113345
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,40329.43690105983,31.752386324481858,19808.786556397576,60169.97584378189
OMERS,0.0,0.0,0.0,0.0
CPPIB,216149.3207950272,170.17983054153933,106167.01072328839,322486.51134885714
Healthcare of Ontario Pension Plan Trust Fund,16940.895959161047,13.33799612669522,8320.934233533535,25275.168188821277
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,6580.599170323639,5.181072267765533,3232.221781274668,9818.002023866073
