year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,SGQ CN Equity 2023,0.0,3.087,,,,,,,,,,,,,,,,,,236.493,,87.195,SOUTHGOBI RESOURCES LTD,295.252,0.39,197.291,47.993,295.738

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.0,32413.376088078443,0.0,32413.376088078443
BMO,0.0,33545.32919318768,0.0,33545.32919318768
TD,0.0,6322.588095647687,0.0,6322.588095647687
Scotiabank,0.0,6720.6639944950975,0.0,6720.6639944950975
CIBC,0.0,1977.315637364528,0.0,1977.315637364528
National Bank of Canada,0.0,3302.4651298813005,0.0,3302.4651298813005
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,0.0,3429.669568209186,0.0,3429.669568209186
Healthcare of Ontario Pension Plan Trust Fund,0.0,5807.99958713229,0.0,5807.99958713229
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,974.5849647342164,0.0,974.5849647342164
