year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,TGA SJ Equity 2023,295.0,433.0,32033.0,30.0,12.0,65.0,238.0,1.0,0.94,19.0,0.48,1789.0,,29816.0,,,,62.0,,10743.7596,30634.0,21607.7596,THUNGELA RESOURCES LTD,140.4926,15380.0,132.0,10983.0,46486.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,51219.71275541218,75180.12075624907,5561839.223638901,5688239.057150561
BMO,24801.50533514821,36403.5654580311,2693142.498417096,2754347.5692102755
TD,14847.80680362623,21793.560494814094,1612291.6319302255,1648932.9992286658
Scotiabank,6936.795751837224,10181.805289984806,753251.8365180256,770370.4375598476
CIBC,6662.243919078033,9778.819040545044,723438.8393297378,739879.9022893609
National Bank of Canada,5853.046421342081,8591.081696410582,635569.8111672808,650013.9392850334
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,62.91073323492548,92.34016098550079,6831.342170245174,6986.5930644656
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,19.482121598576096,28.595792041299827,2115.5219785025743,2163.5998921424502
Intact Financial,875.8080592492338,1285.5081005251466,95102.12678412064,97263.44294389502
OMERS,0.0,0.0,0.0,0.0
CPPIB,1609.9577486969079,2363.0905260534273,174821.87371614407,178794.9219908944
Healthcare of Ontario Pension Plan Trust Fund,217.0065331530253,318.5214537466439,23564.275997406043,24099.803984305712
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,120.70177789278995,177.16566043246797,13106.748291479511,13404.61572980477
