year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,TLW LN Equity 2023,2341.79,0.869,9355.89,,507.962,,81.345,0.044,5.026,0.1,,,,8621.54,,,,139.871,,3214.6223,1634.1,722.3223,TULLOW OIL PLC,1442.1053,38.92,2991.3,499.0,4458.6

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,11882004.656508598,4409.217755010471,47470825.64268057,59357239.51694418
BMO,6891549.084252278,2557.3412450370147,27533024.47220583,34427130.89770314
TD,2768504.9128069286,1027.3469308645185,11060693.696561772,13830225.956299566
Scotiabank,1652530.374031094,613.2270165271099,6602167.186653382,8255310.787701003
CIBC,1581737.4240695601,586.956909678685,6319336.142439463,7901660.523418702
National Bank of Canada,1387669.5551971744,514.9414949531532,5543998.795551515,6932183.292243643
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,14939.27062753012,5.5437191957108345,59685.17364616876,74629.98799289459
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,221255.52587812947,82.10430994585104,883957.1095174551,1105294.7397055305
OMERS,0.0,0.0,0.0,0.0
CPPIB,359424.3270074868,133.37649412180681,1435967.2506746643,1795524.954176273
Healthcare of Ontario Pension Plan Trust Fund,35425.65324371129,13.145881000766556,141532.09471173742,176970.89383644948
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,26561.945367047367,9.856703856436384,106119.92788260865,132691.72995351246
