year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,TPW IN Equity 2023,3310.0,1370.0,,,,,,,,,,,,,,,,,,344174.7066,256941.2,245306.8066,TORRENT POWER LTD,480.6168,510.4,105414.1,11312.7,299101.8

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,47635.07014729529,19716.026012626753,0.0,67351.09615992205
BMO,28231.02031282975,11684.742546397814,0.0,39915.762859227565
TD,11171.054721153425,4623.669174616372,0.0,15794.723895769797
Scotiabank,6648.543563079426,2751.8141031476785,0.0,9400.357666227104
CIBC,6574.762161532293,2721.2761816614025,0.0,9296.038343193695
National Bank of Canada,5644.290711662626,2336.156578543141,0.0,7980.447290205767
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,62.17715770468148,25.734956512209557,0.0,87.91211421689104
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,858.5926045804226,355.3691444940118,0.0,1213.9617490744345
OMERS,0.0,0.0,0.0,0.0
CPPIB,1382.9290132710082,572.3905583629248,0.0,1955.319571633933
Healthcare of Ontario Pension Plan Trust Fund,147.44136333312815,61.02557938561498,0.0,208.46694271874313
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,101.44268047391392,41.98684962213356,0.0,143.42953009604747
