year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2023,VET CN Equity 2023,559.325,148.484,11350.4,45.881,44.54,198.263,116.689,3.33,2.819,1.02,,21.204,527.108,10389.5,,,,,,3397.0279,2022.555,2591.4679,VERMILION ENERGY INC,163.719,15.97,947.016,141.456,6235.821

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2018232.5512405538,535780.1674132256,40955891.31704004,43509904.035693824
BMO,877170.5967880213,232862.46617525152,17800378.656300545,18910411.719263818
TD,697189.554301508,185082.90132017186,14148032.4434351,15030304.899056781
Scotiabank,166573.42964772976,44220.246060543526,3380266.202111166,3591059.8778194394
CIBC,247269.1739399898,65642.54417969061,5017820.86891603,5330732.58703571
National Bank of Canada,143505.60104371735,38096.42992066388,2912151.920312808,3093753.951277189
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,3131.9566316063574,831.4404835961889,63556.63787847805,67520.0349936806
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,40778.67536001508,10825.514382794401,827519.6012823465,879123.791025156
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,16989.316122727203,4510.153515696645,344763.3347532493,366262.8043916731
OMERS,0.0,0.0,0.0,0.0
CPPIB,50642.040125212436,13443.941690344689,1027676.3647313556,1091762.3465469128
Healthcare of Ontario Pension Plan Trust Fund,37551.10458825286,9968.691214735865,762022.6704826249,809542.4662856136
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,15963.676407105026,4237.876954601676,323950.07976058667,344151.6331222934
