year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,601969 CH Equity 2024,41.716,147.557,,,,,,,,,,,,,,,,,,14932.187,4065.5309,13957.0643,HAINAN MINING CO LTD-A,1982.5659,7.09,2275.9904,1957.9892,12788.2865

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,4926.255222883798,17425.051345360644,0.0,22351.306568244443
BMO,1894.6215817032526,6701.617526402024,0.0,8596.239108105277
TD,226.841100101545,802.3777976719646,0.0,1029.2188977735095
Scotiabank,1373.4713776449394,4858.2154586047145,0.0,6231.686836249653
CIBC,297.98542720763993,1054.02808712431,0.0,1352.01351433195
National Bank of Canada,211.26305393606305,747.2754446649643,0.0,958.5384986010274
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,15.040047640964154,53.19935539739543,0.0,68.23940303835958
OMERS,0.0,0.0,0.0,0.0
CPPIB,523.6489083166292,1852.2404344730285,0.0,2375.889342789658
Healthcare of Ontario Pension Plan Trust Fund,141.8612442732674,501.78875302594975,0.0,643.6499972992171
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
