year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,9509 JP Equity 2024,11540.0,2.0,8150.0,,,,,,,,,,,,,,,,,1532963.102,953784.0,172499.1019,HOKKAIDO ELECTRIC POWER CO,205.3102,840.2,1410028.0,110709.0,2141691.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,9481.58095888614,1.6432549322159686,0.0,9483.224213818356
BMO,5380.74534752114,0.9325381884785338,0.0,5381.677885709618
TD,878.1149486089005,0.152186299585598,0.0,878.2671349084861
Scotiabank,1007.9657116174238,0.17469076457840968,0.0,1008.1404023820022
CIBC,275.8241606821954,0.047803147431922946,0.0,275.8719638296273
National Bank of Canada,2367.2175420178232,0.4102630055490161,0.0,2367.6278050233723
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,66.09611223720812,0.011455132103502274,0.0,66.10756736931162
OMERS,0.0,0.0,0.0,0.0
CPPIB,799.9770345470998,0.13864420009481798,0.0,800.1156787471947
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,167.5148431598878,0.029032035209685926,0.0,167.54387519509748
