year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,BCORP IN Equity 2024,10053.6,430.768,,,,,,,,,,,,,,,,,,141228.9125,96627.2,109632.5125,BIRLA CORP LTD,77.0053,1423.7,39034.7,7438.7,144361.7

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,172661.28114321927,7398.041970587876,0.0,180059.32311380716
BMO,67719.52694963549,2901.588006787676,0.0,70621.11495642316
TD,11443.76629332471,490.3326488663661,0.0,11934.098942191076
Scotiabank,18143.934096192497,777.4156722714897,0.0,18921.349768463988
CIBC,11059.62358383422,473.87323266900404,0.0,11533.496816503224
National Bank of Canada,9537.450073489832,408.65245218201125,0.0,9946.102525671844
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,300.69323094278263,12.883844762747728,0.0,313.5770757055304
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,852.2851138707599,36.51797902561067,0.0,888.8030928963706
OMERS,0.0,0.0,0.0,0.0
CPPIB,29582.19822609648,1267.512569175134,0.0,30849.710795271614
Healthcare of Ontario Pension Plan Trust Fund,6556.469634863107,280.9259679787052,0.0,6837.395602841812
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
