year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,ENEL IM Equity 2024,20209.301,3131.16,46259.102,4344.9702,3830.1899,23734.6992,7.518,,21.243,36.399,,,,14284.0996,,,,,,151533.5775,78947.0,69924.5775,ENEL SPA,10156.151,6.886,71929.0,12905.0,187139.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,39348.332050286604,6096.496033315325,90068.38835400043,135513.21643760236
BMO,12784.031639418914,1980.7141527598076,29262.666711196074,44027.4125033748
TD,11469.010185767656,1776.9692248766178,26252.580722546372,39498.560133190644
Scotiabank,2172.2420320094175,336.5597534000116,4972.2651188332175,7481.066904242646
CIBC,3763.562498779488,583.1135056911855,8614.799943779424,12961.475948250098
National Bank of Canada,26720.36889108125,4139.962597271324,61162.96261728146,92023.29410563404
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,166.47304556112618,25.79276449686092,381.0570394422476,573.3228495002347
OMERS,209.82540117600283,32.509630251251785,480.2906434636663,722.6256748909209
CPPIB,29824.397553106413,4620.89018528571,68268.08866521504,102713.37640360717
Healthcare of Ontario Pension Plan Trust Fund,3918.1859004725484,607.0703268818463,8968.733131455818,13493.989358810213
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
