year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,NLC IN Equity 2024,25154.9,0.303,,,,,,,,,,,,,,,,,,561342.5105,129990.3,316291.8105,NLC INDIA LTD,1386.6366,228.1,224154.9,7455.9,549418.1

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,136849.45991891247,1.6484019556997034,0.0,136851.10832086817
BMO,51233.897011380264,0.6171310875594106,0.0,51234.51414246782
TD,8615.080432504592,0.1037718047397879,0.0,8615.184204309331
Scotiabank,15471.499131653934,0.18635988363663308,0.0,15471.685491537572
CIBC,7992.593868629426,0.09627372568345394,0.0,7992.690142355109
National Bank of Canada,6253.337619059221,0.07532374601270304,0.0,6253.412942805234
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,405.5268927046722,0.004884720213140011,0.0,405.5317774248853
OMERS,0.0,0.0,0.0,0.0
CPPIB,15824.456250662235,0.19061138163740093,0.0,15824.646862043872
Healthcare of Ontario Pension Plan Trust Fund,3791.545221181122,0.04567055333226846,0.0,3791.5908917344545
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
