year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,NTGY SM Equity 2024,11482.4,453.649,107417.0,164.683,,26902.1992,,,2.84,5.356,,,,80342.3984,,,,,,37346.5707,19267.0,22669.5707,NATURGY ENERGY GROUP SA,969.6138,23.38,17989.0,6097.0,40836.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1721588.782940649,68016.88059919898,16105406.779623568,17895012.443163417
BMO,729026.1645404692,28802.514327807712,6820015.9348492995,7577844.6137175765
TD,340163.04472850024,13439.230916710743,3182214.162310008,3535816.437955219
Scotiabank,285289.1000357585,11271.2599231974,2668870.2037314633,2965430.5636904193
CIBC,383359.87153034174,15145.859956095244,3586319.0647851927,3984824.7962716296
National Bank of Canada,271692.8097804692,10734.094916054144,2541677.3529037316,2824104.257600255
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,18738.902294254734,740.3403719506695,175301.81832219698,194781.06098840237
OMERS,0.0,0.0,0.0,0.0
CPPIB,98723.6649170423,3900.394679331091,923556.6576754539,1026180.7172718273
Healthcare of Ontario Pension Plan Trust Fund,22997.145120176447,908.5758976018014,215137.54074177507,239043.2617595533
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,5877.560336861606,232.21185198712212,54984.38479324181,61094.156982090535
