year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,POR US Equity 2024,6412.96,39.507,2062.15,2062.1499,,,,,,,,,,,,,,,,9896.509,3440.0,4769.509,PORTLAND GENERAL ELECTRIC CO,103.946,43.62,5139.0,12.0,12544.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,354128.64363187074,2181.607295845338,113873.5228432109,470183.773770927
BMO,155681.55413901096,959.0752412879397,50060.92370755564,206701.55308785453
TD,66551.05759523674,409.98737438172355,21400.142331296574,88361.18730091503
Scotiabank,10569.69984960716,65.11456986452903,3398.7901823646835,14033.604601836372
CIBC,105182.02647693924,647.9732167399202,33822.307543040595,139652.30723671976
National Bank of Canada,88561.74154614238,545.5840552979353,28477.89265381405,117585.21825525437
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,4408.859662493561,27.16075239610618,1417.7118697333415,5853.732284623008
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,5730.576359117888,35.303179845137095,1842.7227779211655,7608.602316884191
OMERS,0.0,0.0,0.0,0.0
CPPIB,198180.8637492874,1220.8919725279895,63726.99164855334,263128.74737036874
Healthcare of Ontario Pension Plan Trust Fund,32315.502631402942,199.07945199390545,10391.365378826207,42905.947462223055
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
