year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,SMC PM Equity 2024,23692.199,1107.68,,,,,,,,,,,,,,,,,,1918503.107,1575379.0,205015.1066,SAN MIGUEL CORP,2384.0,86.0,1603044.0,293677.0,2676930.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,275886.65309250436,12898.512624239956,0.0,288785.1657167443
BMO,99958.34274015883,4673.346576500524,0.0,104631.68931665935
TD,20901.797979656785,977.220543610419,0.0,21879.018523267205
Scotiabank,42394.70165827771,1982.07701753818,0.0,44376.77867581588
CIBC,15311.428832561942,715.8543404625384,0.0,16027.28317302448
National Bank of Canada,33212.744237848274,1552.7934970232093,0.0,34765.53773487148
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,2772.0141546535187,129.59981632885194,0.0,2901.6139709823706
OMERS,44.02957405773922,2.0585121116143155,0.0,46.08808616935353
CPPIB,78139.55087559875,3653.2538711954608,0.0,81792.80474679421
Healthcare of Ontario Pension Plan Trust Fund,6919.230228695742,323.49436790235046,0.0,7242.724596598093
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
