year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,SRCM IN Equity 2024,21945.9,369.603,310.411,,,23.22,98.47,,0.643,0.57,2.95,182.62,,,,1.93,,,,887426.7388,205209.8,926656.4388,SHREE CEMENT LTD,36.08,25682.85,16555.5,56196.4,279534.7

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,164594.76413180027,2772.0311587770734,2328.0297718846437,169694.82506246198
BMO,80292.23488885554,1352.2457904039331,1135.6540668737864,82780.13474613326
TD,37198.30846299193,626.4772191091367,526.1331976286269,38350.918879729696
Scotiabank,30282.100155089323,509.99754230272987,428.3102873174575,31220.40798470951
CIBC,21161.465015010053,356.39189798289243,299.3079447666382,21817.164857759584
National Bank of Canada,23640.542291130736,398.1434050291304,334.3720352682667,24373.057731428133
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,2456.1048754458834,41.36461618249536,34.73916866717832,2532.208660295557
OMERS,0.0,0.0,0.0,0.0
CPPIB,11868.110577898466,199.87739276689524,167.86265898010186,12235.850629645463
Healthcare of Ontario Pension Plan Trust Fund,15334.409010853356,258.25523554005224,216.8900140890059,15809.554260482415
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
