year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,TAQA UH Equity 2024,48900.0,280.0,20710.0,,,4900.0,,,,,,,,12800.0,,,,3010.0,,455574.34,55162.0,394643.34,ABU DHABI NATIONAL ENERGY CO,112434.0,3.51,64700.0,9832.0,216813.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,487476.9806073504,2791.2792345615153,206454.97481346066,696723.2346553726
BMO,198731.76423045679,1137.932392321634,84166.35658921799,284036.0532119964
TD,111937.47701405526,640.9507886285372,47407.46725891788,159985.89506160168
Scotiabank,109289.41028119213,625.7880343299346,46285.96496776051,156201.16328328257
CIBC,97230.30445667726,556.7379396292358,41178.72403471955,138965.76643102604
National Bank of Canada,70771.32126441055,405.2345593872178,29972.884731818864,101149.44055561663
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,62283.65465384516,356.6344233758005,26378.210386117247,89018.4994633382
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,6938.056271265086,39.72711157370602,2938.3874310408987,9916.170813879691
OMERS,0.0,0.0,0.0,0.0
CPPIB,22115.46481438151,126.63251836455672,9366.283769035606,31608.381101781673
Healthcare of Ontario Pension Plan Trust Fund,5625.856247821134,32.21349180756478,2382.647911909523,8040.717651538222
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1629.5318704732226,9.330652837065486,690.1350723415222,2328.99759565181
