year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,TLW LN Equity 2024,2095.58,1.026,8419.52,,,,134.71,,,0.131,,,,7779.52,,,,134.71,370.453,2545.2647,1500.0,391.6647,TULLOW OIL PLC,1459.2173,21.44,2708.7,555.1,4051.5

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,18541224.930303905,9077.819400114437,74494072.4239075,93044375.17361152
BMO,7931492.668141907,3883.274070908101,31866782.883614484,39802158.8258273
TD,3784063.986210654,1852.6850083757868,15203436.542358812,18989353.21357784
Scotiabank,3040255.9778810805,1488.515176374077,12214999.270804852,15256743.763862306
CIBC,4049023.317955384,1982.4096069929203,16267977.840065753,20318983.56762813
National Bank of Canada,2749015.2657617596,1345.923163358863,11044865.86360221,13795227.052527329
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,185574.79578833628,90.85777707309337,745593.795958635,931259.4495240444
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,198303.50179630687,97.08977602525835,796734.5998043736,995135.1913767057
OMERS,0.0,0.0,0.0,0.0
CPPIB,1083941.0766913637,530.6996367045588,4355008.116983737,5439479.893311805
Healthcare of Ontario Pension Plan Trust Fund,260320.49689440994,127.45341614906833,1045903.6024844722,1306351.552795031
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,62086.5508686384,30.397694762892854,249448.46062461083,311565.4091880121
